,schedule_season,schedule_week,schedule_playoff,full_result,spread_favorite,stadium_neutral,weather_temperature,weather_wind_mph,weather_detail,home_favorite,away_favorite
80,2010,6,0,1,-1.5,0,72.0,0.0,Dome,1.0,0.0
81,2010,6,0,1,-3.0,0,57.0,14.0,Sunny,1.0,0.0
82,2010,6,0,1,-10.0,0,63.0,9.0,Sunny,1.0,0.0
83,2010,6,0,1,-1.5,0,66.0,1.0,Sunny,1.0,0.0
84,2010,6,0,1,-14.0,0,61.0,1.0,Sunny,1.0,0.0
85,2010,6,0,1,-7.0,0,59.0,1.0,Sunny,1.0,0.0
86,2010,6,0,1,-8.5,0,72.0,0.0,Dome,0.0,1.0
87,2010,6,0,0,-5.5,0,81.0,9.0,Sunny,0.0,1.0
88,2010,6,0,0,-3.0,0,70.0,7.0,Sunny,0.0,1.0
89,2010,6,0,0,-3.0,0,75.0,8.0,Sunny,0.0,1.0
90,2010,7,0,1,-3.5,0,72.0,0.0,Dome,1.0,0.0
91,2010,7,0,1,-12.5,0,72.0,5.0,Sunny,1.0,0.0
92,2010,7,0,1,-2.5,0,75.0,9.0,Sunny,0.0,1.0
93,2010,7,0,0,-3.0,0,67.0,1.0,Sunny,1.0,0.0
94,2010,7,0,0,-7.0,0,63.0,9.0,Sunny,1.0,0.0
95,2010,7,0,1,-2.5,0,59.0,4.0,Sunny,1.0,0.0
96,2010,7,0,1,-9.0,0,64.0,1.0,Sunny,1.0,0.0
97,2010,7,0,0,-3.0,0,80.0,1.0,Rain,0.0,1.0
98,2010,7,0,0,-12.5,0,72.0,0.0,Dome,1.0,0.0
99,2010,7,0,0,-1.5,0,69.0,7.0,Sunny,1.0,0.0
100,2010,7,0,1,-6.5,0,52.0,12.0,Rain,1.0,0.0
101,2010,7,0,1,-3.0,0,84.0,9.0,Sunny,1.0,0.0
102,2010,7,0,1,-3.0,0,78.0,2.0,Sunny,1.0,0.0
103,2010,7,0,0,-3.5,0,86.0,2.0,Sunny,1.0,0.0
104,2010,8,0,0,-3.0,0,72.0,0.0,Dome,1.0,0.0
105,2010,8,0,0,-1.0,0,54.0,1.0,Sunny,1.0,0.0
106,2010,8,0,0,-6.5,0,72.0,0.0,Dome,1.0,0.0
107,2010,8,0,1,-3.0,0,72.0,0.0,Dome,1.0,0.0
108,2010,8,0,1,-7.0,0,51.0,1.0,Sunny,1.0,0.0
109,2010,8,0,1,-5.5,0,52.0,16.0,Sunny,1.0,0.0
110,2010,8,0,1,-1.0,0,72.0,0.0,Dome,1.0,0.0
111,2010,8,0,0,-6.0,0,57.0,1.0,Sunny,1.0,0.0
112,2010,8,0,1,-2.0,0,66.0,5.0,Sunny,1.0,0.0
113,2010,8,0,1,-6.0,0,65.0,1.0,Sunny,1.0,0.0
114,2010,8,0,1,-2.5,1,54.0,6.0,Sunny,1.0,0.0
115,2010,8,0,1,-2.5,0,72.0,0.0,Dome,1.0,0.0
116,2010,8,0,1,-5.5,0,72.0,0.0,Dome,1.0,0.0
117,2010,9,0,1,-9.0,0,72.0,0.0,Dome,1.0,0.0
118,2010,9,0,1,-5.0,0,50.0,1.0,Sunny,1.0,0.0
119,2010,9,0,0,-3.0,1,72.0,0.0,Dome,0.0,1.0
120,2010,9,0,0,-6.5,0,50.0,7.0,Sunny,0.0,1.0
121,2010,9,0,1,-4.0,0,44.0,13.0,Sunny,0.0,1.0
122,2010,9,0,0,-5.5,0,72.0,0.0,Dome,0.0,1.0
123,2010,9,0,1,-7.0,0,43.0,3.0,Sunny,1.0,0.0
124,2010,9,0,0,-3.0,0,64.0,8.0,Sunny,0.0,1.0
125,2010,9,0,1,-7.5,0,72.0,0.0,Dome,1.0,0.0
126,2010,9,0,1,0.0,0,63.0,9.0,Rain,0.0,0.0
127,2010,9,0,1,-3.0,0,52.0,1.0,Sunny,1.0,0.0
128,2010,9,0,0,-7.5,0,56.0,15.0,Sunny,0.0,1.0
129,2010,9,0,0,-5.5,0,46.0,2.0,Sunny,0.0,1.0
130,2010,10,0,1,-1.0,0,72.0,0.0,Dome,1.0,0.0
131,2010,10,0,0,-4.0,0,72.0,0.0,Dome,1.0,0.0
132,2010,10,0,1,-1.5,0,58.0,1.0,Sunny,1.0,0.0
133,2010,10,0,1,-1.0,0,44.0,2.0,Sunny,0.0,1.0
134,2010,10,0,0,-3.5,0,46.0,1.0,Sunny,0.0,1.0
135,2010,10,0,1,-1.0,0,43.0,6.0,Sunny,0.0,1.0
