,schedule_playoff,spread_favorite,stadium_neutral,weather_wind_mph,home_favorite,away_favorite,weather_detail_Dome,weather_detail_Rain,weather_detail_Snow,weather_detail_Sunny
738,0,10.0,0,8.0,1.0,0.0,0,1,0,0
314,0,3.5,0,0.0,1.0,0.0,1,0,0,0
1303,0,7.0,0,6.0,0.0,1.0,0,0,0,1
461,0,16.5,0,2.0,1.0,0.0,0,0,0,1
710,0,3.5,0,0.0,1.0,0.0,1,0,0,0
193,0,4.0,0,0.0,0.0,1.0,1,0,0,0
910,0,4.5,0,3.0,1.0,0.0,0,0,0,1
1577,0,3.0,0,10.0,0.0,1.0,0,0,0,1
895,0,7.0,0,4.0,1.0,0.0,0,0,0,1
1083,0,6.5,0,0.0,1.0,0.0,1,0,0,0
412,0,13.0,0,13.0,1.0,0.0,0,0,0,1
988,0,3.5,0,5.0,1.0,0.0,0,0,0,1
1008,0,1.5,0,9.0,1.0,0.0,0,0,0,1
1077,0,6.5,0,3.0,1.0,0.0,0,0,0,1
1804,0,3.5,0,2.0,0.0,1.0,0,0,0,1
2067,0,1.0,0,3.0,0.0,1.0,0,0,0,1
860,0,1.5,0,7.0,0.0,1.0,0,0,0,1
1100,0,6.5,0,0.0,1.0,0.0,1,0,0,0
1315,0,7.0,0,4.0,1.0,0.0,0,0,0,1
1624,0,1.0,0,2.0,1.0,0.0,0,0,0,1
1195,0,3.0,0,5.0,1.0,0.0,0,0,0,1
1911,0,5.5,0,7.0,0.0,1.0,0,0,0,1
1326,1,6.0,0,0.0,1.0,0.0,1,0,0,0
208,0,10.5,0,7.0,1.0,0.0,0,0,0,1
427,0,3.5,0,5.0,1.0,0.0,0,0,0,1
2102,0,5.5,0,0.0,1.0,0.0,1,0,0,0
618,0,3.0,0,11.0,1.0,0.0,0,0,0,1
276,0,8.5,0,7.0,1.0,0.0,0,0,0,1
18,0,3.0,0,1.0,0.0,1.0,0,0,0,1
1048,0,2.5,0,0.0,0.0,1.0,1,0,0,0
1231,0,4.0,0,10.0,1.0,0.0,0,1,0,0
889,0,10.5,0,5.0,1.0,0.0,0,0,0,1
1808,0,2.0,0,11.0,1.0,0.0,0,0,0,1
1598,1,7.5,0,9.0,1.0,0.0,0,0,0,1
652,0,7.0,0,3.0,1.0,0.0,0,0,0,1
